Control Ref. No,Control Name,Control Description,Questionnares,Evidence Required,Client Remark,Auditor Observations,Risk,Recommendations,Status
,,,"2. What security compliance frameworks do you require cloud vendors to adhere to?
 
 A) ISO 27017, SOC 2, CSA STAR, NIST 800-161, GDPR
 B) Only internal company policies
 C) Vendors manage security at their discretion
 D) No specific compliance requirements
 Answer: A","Cloud Supplier Contracts & SLAs: Signed agreements with security clauses, audit rights, data protection terms, and compliance obligations.",FALSE,,,,
,,,"3. How do you ensure contractual agreements with cloud vendors include security and compliance obligations?
 
 A) Including security clauses, audit rights, and compliance mandates in contracts
 B) Relying on vendor-provided security statements
 C) No formal security obligations in contracts
 D) Reviewing security terms only during vendor renewals
 Answer: A","Compliance Certifications of Vendors: Vendor-provided evidence of ISO 27017, SOC 2, CSA STAR, or NIST compliance.",FALSE,,,,
,,,"4. How frequently do you perform security assessments on third-party cloud providers?
 
 A) Annually or as per risk exposure, with ongoing monitoring
 B) Only at the time of onboarding
 C) No formal assessment process
 D) Relying on vendor self-assessments
 Answer: A",Third-Party Audit Reports: Internal or external audit reports evaluating third-party security and risk management controls.,FALSE,,,,
,,,"5. What controls are in place to monitor third-party access to sensitive cloud environments?
 
 A) Strict access controls, logging, monitoring, and least privilege principles
 B) Vendors have unrestricted access to all systems
 C) Access control is determined by vendors
 D) No specific monitoring of vendor access
 Answer: A","Third-Party Access Control Policies: Policies defining access restrictions, least privilege enforcement, and vendor authentication methods.",FALSE,,,,
,,,"6. How does your organization handle cloud vendor security breaches or non-compliance incidents?
 
 A) Defined incident response, contract enforcement, and contingency planning
 B) No predefined process for vendor security incidents
 C) Addressing issues only after a security breach occurs
 D) Relying on vendor self-reporting without verification
 Answer: A",Incident Response Plans for Vendor Breaches: Documentation outlining processes for handling third-party security incidents.,FALSE,,,,
,,,"7. How do you ensure supply chain security in cloud vendor relationships?
 
 A) Supplier risk assessment, security audits, and contractual obligations for sub-contractors
 B) No oversight of supplier security
 C) Assuming vendors manage their own supply chain security
 D) Only performing due diligence on primary cloud vendors
 Answer: A","Vendor Security Monitoring Logs: Evidence of continuous security monitoring, log analysis, and compliance tracking.",FALSE,,,,
,,,"8. How does your organization track vendor compliance over time?
 
 A) Continuous monitoring, compliance attestations, and periodic reassessments
 B) One-time review at the time of onboarding
 C) No ongoing compliance tracking
 D) Trusting vendor compliance without audits
 Answer: A","Supply Chain Risk Management Policies: Documentation of supplier security validation, sub-contractor oversight, and risk mitigation strategies.",FALSE,,,,
,,,"9. What security assurances do you require from cloud vendors regarding data protection?
 
 A) Encryption, access control, data residency compliance, and auditability
 B) Relying on vendor security claims without proof
 C) Assuming all vendors follow best practices
 D) No formal data protection requirements for vendors
 Answer: A","Data Protection & Encryption Agreements: Contracts specifying encryption, data sovereignty, and retention policies for vendor-handled data.",FALSE,,,,
,,,"10. How do you manage the offboarding process for cloud vendors to mitigate risks?
 
 A) Revoking access, securely transferring or deleting data, and finalizing security reviews
 B) Vendors retain access indefinitely
 C) No formal vendor offboarding process
 D) Relying on vendors to manage offboarding security
 Answer: A","Vendor Offboarding Procedures: Evidence of secure decommissioning, data transfer, and access revocation processes.",FALSE,,,,
CLD.13.2,Cloud Shared Responsibility Model,"ISO/IEC 27017 emphasizes the Cloud Shared Responsibility Model, defining security obligations between Cloud Service Providers (CSPs) and customers. Organizations must ensure clear delineation of responsibilities, SLA enforcement, risk transfer mechanisms, and compliance alignment (SOC 2, ISO 27001, GDPR, PCI DSS, NIST 800-53). Effective governance ensures accountability in security operations, data protection, and regulatory compliance.","1. How does your organization ensure a clear understanding of shared security responsibilities with your CSP?
 
 A) Reviewing CSP security documentation, contractually defining responsibilities, and aligning with compliance frameworks
 B) Assuming the CSP handles all security responsibilities
 C) Ignoring security responsibilities and focusing only on business operations
 D) Relying on informal agreements without contractual security clauses
 Answer: A","Cloud Shared Responsibility Matrix: Documentation outlining CSP vs. customer security responsibilities for IaaS, PaaS, and SaaS environments.",FALSE,,,,
,,,"2. Where is the boundary of security responsibility between your organization and the CSP for cloud-based workloads?
 
 A) Defined in the shared responsibility model based on the cloud service type (IaaS, PaaS, SaaS)
 B) The CSP is responsible for everything
 C) The customer is solely responsible for all security measures
 D) There is no defined boundary
 Answer: A","CSP Security Certifications & Compliance Reports: Proof of ISO 27017, SOC 2, CSA STAR, and GDPR compliance from the cloud provider.",FALSE,,,,
,,,"3. How do you ensure that security controls for customer-managed areas (e.g., data, configurations, access) are properly enforced?
 
 A) Implementing internal security controls, audits, and monitoring for compliance
 B) Relying on the CSP to handle security for customer-managed areas
 C) Not implementing any additional security controls beyond what the CSP provides
 D) No enforcement mechanisms in place
 Answer: A","Security SLAs and Contractual Agreements: Signed service agreements with defined security obligations, risk transfer clauses, and audit rights.",FALSE,,,,
,,,"4. How do you validate that the CSP meets its security obligations under the shared responsibility model?
 
 A) Reviewing SOC 2, ISO 27017, CSA STAR certifications, and conducting security audits
 B) Assuming compliance without verification
 C) Relying solely on the CSP’s marketing claims
 D) Not evaluating CSP security at all
 Answer: A","Internal Cloud Security Policies: Policies detailing customer-managed security responsibilities, including access control, data protection, and incident response.",FALSE,,,,
,,,"5. What measures are in place to enforce SLA terms related to security and compliance?
 
 A) Defining security SLAs, periodic compliance assessments, and contractual enforcement
 B) No specific SLA terms related to security
 C) Accepting CSP-provided SLAs without verification
 D) Ignoring SLA enforcement for security compliance
 Answer: A",Audit & Compliance Reports: Internal or external audit reports verifying adherence to the shared responsibility model.,FALSE,,,,
,,,"6. How do you ensure proper risk transfer mechanisms in cloud contracts?
 
 A) Defining liability clauses, insurance coverage, and security breach accountability
 B) No risk transfer mechanisms in place
 C) Relying on CSP goodwill for risk handling
 D) Ignoring risk allocation in cloud contracts
 Answer: A",Risk Assessment Documentation: Reports assessing security risks related to CSP-managed and customer-managed responsibilities.,FALSE,,,,
,,,"7. How does your organization monitor CSP compliance with regulatory frameworks (e.g., GDPR, PCI DSS, ISO 27017)?
 
 A) Performing compliance audits, reviewing third-party attestations, and monitoring regulatory updates
 B) Assuming compliance without verification
 C) Relying on the CSP’s legal team to handle compliance
 D) No compliance monitoring is performed
 Answer: A","Incident Response & Liability Agreements: Documentation defining how security breaches, compliance violations, and liability are handled.",FALSE,,,,
,,,"8. How does your organization ensure that cloud security configurations align with the shared responsibility model?
 
 A) Conducting regular security assessments, vulnerability scans, and compliance checks
 B) Leaving all configurations to the CSP
 C) Not managing security configurations at all
 D) Relying on default security settings without review
 Answer: A
 9. How do you ensure that security responsibilities are communicated across internal teams?
 
 A) Providing cloud security awareness training, enforcing policies, and documenting responsibilities
 B) Assuming that employees understand responsibilities without training
 C) Leaving security responsibility communication to individual departments
 D) Not communicating security responsibilities internally
 Answer: A","Cloud Security Awareness Training Records: Evidence of employee training on shared responsibility, security configurations, and compliance requirements.",FALSE,,,,
,,,"9. How do you ensure that security responsibilities are communicated across internal teams?
 
 A) Providing cloud security awareness training, enforcing policies, and documenting responsibilities
 B) Assuming that employees understand responsibilities without training
 C) Leaving security responsibility communication to individual departments
 D) Not communicating security responsibilities internally
 Answer: A","Security Configuration & Monitoring Logs: Reports from cloud security tools (e.g., AWS Security Hub, Azure Security Center, GCP Security Command Center) verifying security configurations.",FALSE,,,,
,,,"10. What processes are in place to regularly review and update your cloud security responsibilities?
 
 A) Periodic contract reviews, risk assessments, and adapting to evolving compliance requirements
 B) Keeping the initial contract unchanged indefinitely
 C) Ignoring security responsibilities after the initial contract signing
 D) Relying solely on the CSP to update security terms
 Answer: A","Regular Security Review Records: Documentation showing periodic contract reviews, SLA updates, and alignment with new compliance standards.",FALSE,,,,
